#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Special,Speed,Legendary
50,Diglett,Ground,,265,12,65,17,34,104,False
11,Metapod,Bug,,205,44,16,64,24,34,False
102,Exeggcute,Grass,Psychic,325,58,50,79,50,39,False
82,Magneton,Electric,,465,52,55,95,95,73,False
6,Charizard,Fire,Flying,534,72,87,73,102,99,False
88,Grimer,Poison,,325,88,78,50,38,34,False
149,Dragonite,Dragon,Flying,600,98,127,95,100,81,False
103,Exeggutor,Grass,Psychic,520,94,87,91,102,44,False
145,Zapdos,Electric,Flying,580,82,86,85,109,109,True
58,Growlithe,Fire,,350,56,77,35,60,62,False
91,Cloyster,Water,Ice,525,52,94,172,68,72,False
80,Slowbro,Water,Psychic,490,86,71,111,91,40,False
41,Zubat,Poison,Flying,245,36,52,39,34,51,False
52,Meowth,Normal,,290,42,41,35,41,90,False
67,Machoke,Fighting,,405,86,108,67,52,41,False
42,Golbat,Poison,Flying,455,70,87,72,70,85,False
142,Aerodactyl,Rock,Flying,515,78,107,54,70,136,False
25,Pikachu,Electric,,320,23,64,41,50,92,False
74,Geodude,Rock,Ground,300,45,69,110,32,12,False
18,Pidgeot,Normal,Flying,479,89,76,68,71,104,False
140,Kabuto,Rock,Water,355,31,82,87,47,61,False
105,Marowak,Ground,,425,60,84,105,63,50,False
50,Diglett,Ground,,265,4,52,41,38,93,False
28,Sandslash,Ground,,450,69,103,113,46,74,False
146,Moltres,Fire,Flying,580,88,97,101,103,88,True
7,Squirtle,Water,,314,39,47,74,57,40,False
21,Spearow,Normal,Flying,262,32,57,41,29,74,False
76,Golem,Rock,Ground,495,86,124,122,56,51,False
93,Haunter,Ghost,Poison,405,43,49,39,85,104,False
64,Kadabra,Psychic,,400,42,29,34,94,106,False
22,Fearow,Normal,Flying,442,63,81,75,59,105,False
116,Horsea,Water,,295,21,38,69,48,70,False
35,Clefairy,Normal,,323,78,36,51,56,45,False
25,Pikachu,Electric,,320,36,61,33,46,97,False
99,Kingler,Water,,475,50,135,107,53,77,False
24,Arbok,Poison,,438,58,89,71,70,80,False
6,Charizard,Fire,Flying,534,73,81,79,104,93,False
113,Chansey,Normal,,450,246,8,6,66,58,False
108,Lickitung,Normal,,385,98,56,73,66,25,False
56,Mankey,Fighting,,305,40,85,42,39,60,False
133,Eevee,Normal,,325,58,48,54,49,67,False
22,Fearow,Normal,Flying,442,65,81,73,64,95,False
46,Paras,Bug,Grass,285,31,65,56,54,25,False
23,Ekans,Poison,,288,29,65,43,52,48,False
85,Dodrio,Normal,Flying,460,63,103,77,58,102,False
60,Poliwag,Water,,300,43,49,43,37,91,False
113,Chansey,Normal,,450,243,6,6,73,49,False
102,Exeggcute,Grass,Psychic,325,67,44,81,46,42,False
139,Omastar,Rock,Water,495,72,54,134,92,50,False
91,Cloyster,Water,Ice,525,55,101,176,66,62,False
24,Arbok,Poison,,438,62,92,63,73,75,False
80,Slowbro,Water,Psychic,490,83,78,117,97,18,False
68,Machamp,Fighting,,505,85,141,80,75,49,False
3,Venusaur,Grass,Poison,525,77,81,81,100,86,False
74,Geodude,Rock,Ground,300,40,82,105,30,13,False
38,Ninetales,Fire,,505,68,81,71,91,103,False
140,Kabuto,Rock,Water,355,29,80,83,50,63,False
147,Dratini,Dragon,,300,46,70,36,47,54,False
142,Aerodactyl,Rock,Flying,515,83,94,70,67,134,False
117,Seadra,Water,,440,61,69,99,66,80,False
53,Persian,Normal,,440,66,68,46,69,122,False
120,Staryu,Water,,340,24,54,57,61,83,False
23,Ekans,Poison,,288,37,51,50,48,55,False
42,Golbat,Poison,Flying,455,74,72,75,74,85,False
37,Vulpix,Fire,,299,37,37,35,62,65,False
60,Poliwag,Water,,300,34,44,35,43,101,False
144,Articuno,Ice,Flying,580,77,87,106,115,80,True
93,Haunter,Ghost,Poison,405,52,50,49,80,93,False
97,Hypno,Psychic,,483,75,76,79,94,65,False
86,Seel,Water,,325,62,48,56,57,45,False
127,Pinsir,Bug,,500,63,119,97,66,88,False
54,Psyduck,Water,,320,50,54,56,57,46,False
37,Vulpix,Fire,,299,34,45,45,59,57,False
151,Mew,Psychic,,600,92,97,105,100,106,False
54,Psyduck,Water,,320,47,44,52,61,55,False
62,Poliwrath,Water,Fighting,510,85,99,99,78,72,False
111,Rhyhorn,Ground,Rock,345,87,85,94,30,20,False
138,Omanyte,Rock,Water,355,40,46,85,70,44,False
97,Hypno,Psychic,,483,95,70,72,94,59,False
120,Staryu,Water,,340,35,40,48,68,82,False
140,Kabuto,Rock,Water,355,35,90,84,44,57,False
53,Persian,Normal,,440,68,69,57,62,121,False
130,Gyarados,Water,Flying,540,103,125,70,79,84,False
26,Raichu,Electric,,485,66,91,40,88,113,False
36,Clefable,Normal,,483,89,63,75,100,55,False
118,Goldeen,Water,,320,38,70,57,44,68,False
101,Electrode,Electric,,480,56,44,81,80,138,False
109,Koffing,Poison,,340,43,65,86,59,28,False
110,Weezing,Poison,,490,56,99,117,76,66,False
73,Tentacruel,Water,Poison,515,84,68,68,100,96,False
75,Graveler,Rock,Ground,390,60,89,114,48,31,False
117,Seadra,Water,,440,46,63,94,78,82,False
138,Omanyte,Rock,Water,355,44,32,96,76,32,False
5,Charmeleon,Fire,,405,53,66,62,66,92,False
48,Venonat,Bug,Poison,305,53,64,44,44,55,False
144,Articuno,Ice,Flying,580,96,81,100,104,94,True
12,Butterfree,Bug,Flying,395,59,40,44,88,77,False
45,Vileplume,Grass,Poison,490,73,85,84,94,59,False
68,Machamp,Fighting,,505,94,136,77,72,53,False
103,Exeggutor,Grass,Psychic,520,99,103,76,98,47,False
55,Golduck,Water,,500,73,76,80,90,90,False
149,Dragonite,Dragon,Flying,600,84,137,98,98,86,False
61,Poliwhirl,Water,,385,73,59,68,50,84,False
29,Nidoran♀,Poison,,275,50,50,61,36,42,False
50,Diglett,Ground,,265,17,59,32,36,84,False
47,Parasect,Bug,Grass,405,67,91,81,69,28,False
99,Kingler,Water,,475,54,128,106,51,85,False
89,Muk,Poison,,500,98,115,70,82,53,False
83,Farfetch'd,Normal,Flying,352,59,63,64,54,59,False
94,Gengar,Ghost,Poison,500,62,65,55,103,112,False
24,Arbok,Poison,,438,52,90,76,70,80,False
119,Seaking,Water,,450,77,93,63,76,64,False
34,Nidoking,Poison,Ground,505,78,107,70,81,88,False
109,Koffing,Poison,,340,43,56,87,57,40,False
144,Articuno,Ice,Flying,580,91,90,99,110,81,True
83,Farfetch'd,Normal,Flying,352,53,63,52,63,58,False
104,Cubone,Ground,,320,46,52,88,46,43,False
18,Pidgeot,Normal,Flying,479,86,71,72,71,108,False
95,Onix,Rock,Ground,385,38,37,160,38,73,False
126,Magmar,Fire,,495,61,97,58,90,99,False
21,Spearow,Normal,Flying,262,45,55,34,24,79,False
28,Sandslash,Ground,,450,82,93,107,50,69,False
139,Omastar,Rock,Water,495,65,69,126,88,58,False
146,Moltres,Fire,Flying,580,93,101,92,98,98,True
87,Dewgong,Water,Ice,475,81,77,79,82,75,False
108,Lickitung,Normal,,385,96,63,71,58,38,False
146,Moltres,Fire,Flying,580,88,100,84,104,99,True
36,Clefable,Normal,,483,87,65,83,94,59,False
3,Venusaur,Grass,Poison,525,80,73,82,102,85,False
139,Omastar,Rock,Water,495,77,50,125,97,49,False
134,Vaporeon,Water,,525,132,59,53,105,71,False
89,Muk,Poison,,500,107,94,69,86,57,False
17,Pidgeotto,Normal,Flying,349,65,56,58,51,68,False
130,Gyarados,Water,Flying,540,92,124,85,76,86,False
50,Diglett,Ground,,265,19,61,17,42,85,False
69,Bellsprout,Grass,Poison,300,46,81,33,47,46,False
8,Wartortle,Water,,405,61,65,79,72,56,False
61,Poliwhirl,Water,,385,59,67,66,50,93,False
23,Ekans,Poison,,288,30,67,38,46,61,False
12,Butterfree,Bug,Flying,395,60,47,52,86,65,False
25,Pikachu,Electric,,320,39,46,45,48,94,False
79,Slowpoke,Water,Psychic,315,85,68,71,34,23,False
125,Electabuzz,Electric,,490,56,82,53,94,111,False
150,Mewtwo,Psychic,,680,104,112,89,121,133,True
112,Rhydon,Ground,Rock,485,97,128,119,46,49,False
5,Charmeleon,Fire,,405,55,54,59,78,82,False
43,Oddish,Grass,Poison,320,51,45,58,69,28,False
32,Nidoran♂,Poison,,273,53,53,49,34,51,False
47,Parasect,Bug,Grass,405,61,99,83,73,16,False
116,Horsea,Water,,295,41,34,71,42,66,False
18,Pidgeot,Normal,Flying,479,88,80,69,72,99,False
100,Voltorb,Electric,,330,34,33,46,60,98,False
82,Magneton,Electric,,465,63,50,96,97,62,False
120,Staryu,Water,,340,34,48,61,60,78,False
139,Omastar,Rock,Water,495,73,63,121,92,53,False
66,Machop,Fighting,,305,73,88,53,30,32,False
50,Diglett,Ground,,265,1,62,27,45,85,False
47,Parasect,Bug,Grass,405,70,89,89,70,17,False
126,Magmar,Fire,,495,52,102,65,88,100,False
132,Ditto,Normal,,288,49,53,39,48,50,False
27,Sandshrew,Ground,,300,63,68,86,20,43,False
140,Kabuto,Rock,Water,355,23,87,98,52,44,False
151,Mew,Psychic,,600,99,103,99,98,104,False
112,Rhydon,Ground,Rock,485,100,141,116,45,38,False
46,Paras,Bug,Grass,285,29,75,59,50,22,False
116,Horsea,Water,,295,33,39,70,44,65,False
2,Ivysaur,Grass,Poison,405,58,58,59,79,72,False
128,Tauros,Normal,,490,81,107,94,50,109,False
2,Ivysaur,Grass,Poison,405,68,56,60,85,51,False
82,Magneton,Electric,,465,47,60,86,103,66,False
51,Dugtrio,Ground,,405,35,70,47,62,129,False
41,Zubat,Poison,Flying,245,41,42,34,36,56,False
49,Venomoth,Bug,Poison,450,73,68,52,78,102,False
29,Nidoran♀,Poison,,275,48,41,61,38,50,False
30,Nidorina,Poison,,365,66,56,79,52,60,False
17,Pidgeotto,Normal,Flying,349,64,59,56,53,64,False
29,Nidoran♀,Poison,,275,53,52,56,43,28,False
142,Aerodactyl,Rock,Flying,515,79,111,70,65,125,False
18,Pidgeot,Normal,Flying,479,77,94,73,72,91,False
4,Charmander,Fire,,309,31,49,49,56,67,False
126,Magmar,Fire,,495,52,90,64,95,99,False
32,Nidoran♂,Poison,,273,49,59,32,43,47,False
80,Slowbro,Water,Psychic,490,104,69,109,94,21,False
23,Ekans,Poison,,288,34,59,41,54,47,False
11,Metapod,Bug,,205,52,18,55,28,24,False
58,Growlithe,Fire,,350,52,79,38,60,62,False
57,Primeape,Fighting,,455,69,105,70,60,91,False
66,Machop,Fighting,,305,82,78,44,36,29,False
145,Zapdos,Electric,Flying,580,89,96,82,109,95,True
21,Spearow,Normal,Flying,262,46,66,22,28,72,False
144,Articuno,Ice,Flying,580,86,81,100,114,84,True
126,Magmar,Fire,,495,68,100,66,88,86,False
59,Arcanine,Fire,,555,97,108,74,92,92,False
83,Farfetch'd,Normal,Flying,352,62,58,49,57,69,False
121,Starmie,Water,Psychic,520,66,79,94,86,110,False
123,Scyther,Bug,Flying,500,80,109,80,64,104,False
58,Growlithe,Fire,,350,47,75,54,58,57,False
149,Dragonite,Dragon,Flying,600,91,137,92,98,84,False
71,Victreebel,Grass,Poison,490,79,97,69,83,79,False
93,Haunter,Ghost,Poison,405,40,57,45,82,99,False
35,Clefairy,Normal,,323,65,45,50,68,26,False
122,Mr. Mime,Psychic,,460,34,48,55,118,88,False
26,Raichu,Electric,,485,52,100,47,84,117,False
83,Farfetch'd,Normal,Flying,352,47,70,52,58,67,False
46,Paras,Bug,Grass,285,36,56,45,57,34,False
112,Rhydon,Ground,Rock,485,110,120,128,44,38,False
111,Rhyhorn,Ground,Rock,345,84,98,85,28,21,False
113,Chansey,Normal,,450,250,1,-1,72,57,False
135,Jolteon,Electric,,525,70,67,65,94,136,False
76,Golem,Rock,Ground,495,85,122,120,64,39,False
22,Fearow,Normal,Flying,442,62,98,59,63,97,False
115,Kangaskhan,Normal,,490,97,105,73,62,90,False
110,Weezing,Poison,,490,59,98,117,74,69,False
29,Nidoran♀,Poison,,275,58,45,43,45,39,False
38,Ninetales,Fire,,505,78,80,75,88,96,False
34,Nidoking,Poison,Ground,505,79,108,72,78,90,False
99,Kingler,Water,,475,52,120,123,50,79,False
100,Voltorb,Electric,,330,45,38,45,51,100,False
119,Seaking,Water,,450,74,86,63,74,78,False
135,Jolteon,Electric,,525,54,70,67,99,136,False
64,Kadabra,Psychic,,400,43,37,33,92,104,False
34,Nidoking,Poison,Ground,505,84,90,84,81,85,False
57,Primeape,Fighting,,455,75,106,49,60,104,False
71,Victreebel,Grass,Poison,490,79,110,68,86,61,False
92,Gastly,Ghost,Poison,310,31,34,22,74,76,False
10,Caterpie,Bug,,195,50,26,38,18,46,False
150,Mewtwo,Psychic,,680,102,111,88,126,128,True
21,Spearow,Normal,Flying,262,47,60,31,32,61,False
21,Spearow,Normal,Flying,262,31,66,32,34,66,False
86,Seel,Water,,325,61,40,52,62,47,False
121,Starmie,Water,Psychic,520,56,80,84,92,115,False
110,Weezing,Poison,,490,54,95,125,75,66,False
14,Kakuna,Bug,Poison,205,43,33,59,21,28,False
71,Victreebel,Grass,Poison,490,88,100,62,86,68,False
54,Psyduck,Water,,320,49,52,46,62,49,False
88,Grimer,Poison,,325,81,69,50,46,32,False
106,Hitmonlee,Fighting,,455,59,116,44,76,83,False
48,Venonat,Bug,Poison,305,70,60,52,42,40,False
119,Seaking,Water,,450,85,89,58,72,74,False
27,Sandshrew,Ground,,300,42,83,89,26,34,False
128,Tauros,Normal,,490,73,113,95,54,101,False
92,Gastly,Ghost,Poison,310,32,42,37,58,82,False
96,Drowzee,Psychic,,328,59,46,38,72,42,False
132,Ditto,Normal,,288,51,51,49,48,42,False
132,Ditto,Normal,,288,51,52,51,46,42,False
63,Abra,Psychic,,310,31,26,17,75,86,False
135,Jolteon,Electric,,525,71,63,61,104,123,False
72,Tentacool,Water,Poison,335,32,30,42,76,79,False
128,Tauros,Normal,,490,71,104,105,54,102,False
57,Primeape,Fighting,,455,60,114,66,60,95,False
45,Vileplume,Grass,Poison,490,85,73,87,98,50,False
35,Clefairy,Normal,,323,75,49,49,60,30,False
48,Venonat,Bug,Poison,305,59,48,55,52,39,False
59,Arcanine,Fire,,555,94,105,72,92,101,False
46,Paras,Bug,Grass,285,39,77,44,46,32,False
61,Poliwhirl,Water,,385,73,55,58,51,97,False
51,Dugtrio,Ground,,405,38,80,40,60,126,False
95,Onix,Rock,Ground,385,43,44,158,40,61,False
8,Wartortle,Water,,405,54,68,77,79,48,False
113,Chansey,Normal,,450,254,-1,7,75,40,False
22,Fearow,Normal,Flying,442,57,90,67,62,105,False
117,Seadra,Water,,440,60,74,90,70,75,False
110,Weezing,Poison,,490,68,93,120,75,59,False
74,Geodude,Rock,Ground,300,36,79,98,32,23,False
14,Kakuna,Bug,Poison,205,53,26,59,21,25,False
126,Magmar,Fire,,495,64,95,58,96,85,False
33,Nidorino,Poison,,365,57,69,62,54,70,False
97,Hypno,Psychic,,483,79,78,64,101,60,False
105,Marowak,Ground,,425,57,86,116,60,47,False
19,Rattata,Normal,,253,36,54,33,27,76,False
137,Porygon,Normal,,395,62,56,66,84,42,False
122,Mr. Mime,Psychic,,460,47,48,60,107,91,False
19,Rattata,Normal,,253,34,60,29,29,72,False
93,Haunter,Ghost,Poison,405,35,54,43,88,97,False
8,Wartortle,Water,,405,59,66,79,68,66,False
47,Parasect,Bug,Grass,405,63,91,71,70,39,False
40,Wigglytuff,Normal,,435,135,61,54,74,38,False
27,Sandshrew,Ground,,300,48,75,81,24,47,False
92,Gastly,Ghost,Poison,310,25,40,21,72,80,False
39,Jigglypuff,Normal,,270,106,42,22,35,30,False
10,Caterpie,Bug,,195,41,30,44,17,46,False
129,Magikarp,Water,,200,22,5,46,20,87,False
126,Magmar,Fire,,495,65,97,60,86,102,False
69,Bellsprout,Grass,Poison,300,53,76,34,52,32,False
148,Dragonair,Dragon,,420,66,88,60,70,66,False
58,Growlithe,Fire,,350,48,63,51,68,51,False
16,Pidgey,Normal,Flying,251,34,37,45,36,62,False
118,Goldeen,Water,,320,48,67,55,40,69,False
54,Psyduck,Water,,320,50,52,39,58,62,False
120,Staryu,Water,,340,22,53,56,60,90,False
145,Zapdos,Electric,Flying,580,90,91,86,110,92,True
38,Ninetales,Fire,,505,75,81,62,96,94,False
133,Eevee,Normal,,325,45,57,51,58,56,False
68,Machamp,Fighting,,505,88,122,82,76,61,False
37,Vulpix,Fire,,299,34,34,35,60,76,False
1,Bulbasaur,Grass,Poison,318,40,40,57,66,48,False
43,Oddish,Grass,Poison,320,45,54,47,74,27,False
113,Chansey,Normal,,450,243,13,6,72,45,False
48,Venonat,Bug,Poison,305,57,46,51,48,55,False
16,Pidgey,Normal,Flying,251,36,49,36,36,58,False
113,Chansey,Normal,,450,243,5,-1,78,47,False
45,Vileplume,Grass,Poison,490,76,76,86,96,59,False
142,Aerodactyl,Rock,Flying,515,85,104,68,66,126,False
84,Doduo,Normal,Flying,310,35,89,40,38,70,False
7,Squirtle,Water,,314,39,40,76,55,49,False
123,Scyther,Bug,Flying,500,71,105,85,70,100,False
51,Dugtrio,Ground,,405,35,75,47,63,122,False
35,Clefairy,Normal,,323,60,44,58,60,41,False
90,Shellder,Water,,305,29,59,103,40,35,False
67,Machoke,Fighting,,405,82,95,67,57,47,False
11,Metapod,Bug,,205,49,15,57,23,38,False
63,Abra,Psychic,,310,18,28,16,80,87,False
42,Golbat,Poison,Flying,455,80,71,70,70,94,False
93,Haunter,Ghost,Poison,405,51,49,35,88,95,False
54,Psyduck,Water,,320,46,54,56,58,49,False
4,Charmander,Fire,,309,41,49,45,56,63,False
77,Ponyta,Fire,,410,44,83,58,66,94,False
146,Moltres,Fire,Flying,580,88,91,86,110,95,True
88,Grimer,Poison,,325,86,76,45,41,36,False
45,Vileplume,Grass,Poison,490,75,72,92,98,55,False
98,Krabby,Water,,325,27,110,83,24,56,False
51,Dugtrio,Ground,,405,31,82,53,62,114,False
146,Moltres,Fire,Flying,580,91,99,90,103,94,True
132,Ditto,Normal,,288,47,52,50,42,56,False
97,Hypno,Psychic,,483,78,75,73,93,71,False
5,Charmeleon,Fire,,405,59,72,57,68,82,False
83,Farfetch'd,Normal,Flying,352,42,70,51,66,57,False
125,Electabuzz,Electric,,490,56,81,62,90,111,False
82,Magneton,Electric,,465,50,60,94,94,73,False
78,Rapidash,Fire,,500,71,95,71,76,110,False
59,Arcanine,Fire,,555,84,107,84,93,94,False
17,Pidgeotto,Normal,Flying,349,70,58,52,47,75,False
126,Magmar,Fire,,495,65,109,54,87,93,False
32,Nidoran♂,Poison,,273,48,61,33,45,41,False
51,Dugtrio,Ground,,405,36,79,42,62,123,False
63,Abra,Psychic,,310,19,25,16,80,89,False
131,Lapras,Water,Ice,535,128,87,81,88,64,False
118,Goldeen,Water,,320,39,75,51,48,60,False
87,Dewgong,Water,Ice,475,99,69,73,85,64,False
90,Shellder,Water,,305,29,60,98,36,47,False
122,Mr. Mime,Psychic,,460,42,42,60,116,83,False
42,Golbat,Poison,Flying,455,79,71,71,69,96,False
65,Alakazam,Psychic,,500,59,43,43,118,119,False
81,Magnemite,Electric,,325,30,36,65,74,47,False
55,Golduck,Water,,500,74,90,75,89,83,False
43,Oddish,Grass,Poison,320,48,40,64,68,31,False
61,Poliwhirl,Water,,385,61,66,65,48,97,False
64,Kadabra,Psychic,,400,45,39,36,92,97,False
43,Oddish,Grass,Poison,320,39,55,58,68,31,False
73,Tentacruel,Water,Poison,515,76,78,55,102,102,False
52,Meowth,Normal,,290,41,44,33,38,96,False
91,Cloyster,Water,Ice,525,47,100,185,60,72,False
18,Pidgeot,Normal,Flying,479,79,77,78,68,108,False
47,Parasect,Bug,Grass,405,68,106,74,68,22,False
46,Paras,Bug,Grass,285,38,76,58,48,16,False
124,Jynx,Ice,Psychic,455,65,52,32,104,99,False
72,Tentacool,Water,Poison,335,37,33,39,76,75,False
92,Gastly,Ghost,Poison,310,38,27,24,66,88,False
124,Jynx,Ice,Psychic,455,58,46,43,102,105,False
98,Krabby,Water,,325,36,106,83,22,55,False
8,Wartortle,Water,,405,67,62,79,72,53,False
1,Bulbasaur,Grass,Poison,318,50,60,47,58,44,False
148,Dragonair,Dragon,,420,69,81,59,63,85,False
40,Wigglytuff,Normal,,435,140,82,47,62,41,False
17,Pidgeotto,Normal,Flying,349,64,61,48,48,81,False
39,Jigglypuff,Normal,,270,114,40,16,32,35,False
111,Rhyhorn,Ground,Rock,345,82,78,102,32,19,False
138,Omanyte,Rock,Water,355,43,52,95,67,31,False
74,Geodude,Rock,Ground,300,40,89,95,30,15,False
32,Nidoran♂,Poison,,273,47,55,30,48,45,False
135,Jolteon,Electric,,525,56,59,68,103,136,False
120,Staryu,Water,,340,22,46,60,60,92,False
101,Electrode,Electric,,480,55,59,65,78,146,False
64,Kadabra,Psychic,,400,46,27,30,96,104,False
73,Tentacruel,Water,Poison,515,76,62,73,102,100,False
91,Cloyster,Water,Ice,525,47,97,178,64,76,False
20,Raticate,Normal,,413,55,82,49,62,102,False
27,Sandshrew,Ground,,300,46,84,93,20,37,False
24,Arbok,Poison,,438,68,85,68,70,78,False
131,Lapras,Water,Ice,535,131,78,77,96,58,False
125,Electabuzz,Electric,,490,53,88,60,94,100,False
65,Alakazam,Psychic,,500,47,52,39,118,126,False
115,Kangaskhan,Normal,,490,112,93,75,64,83,False
135,Jolteon,Electric,,525,67,68,59,98,135,False
20,Raticate,Normal,,413,52,77,53,62,106,False
46,Paras,Bug,Grass,285,34,77,62,44,23,False
33,Nidorino,Poison,,365,63,67,61,56,61,False
23,Ekans,Poison,,288,40,55,38,47,61,False
139,Omastar,Rock,Water,495,70,61,121,93,57,False
117,Seadra,Water,,440,47,66,88,72,94,False
102,Exeggcute,Grass,Psychic,325,55,40,88,54,35,False
95,Onix,Rock,Ground,385,32,40,155,39,80,False
81,Magnemite,Electric,,325,22,30,74,74,50,False
90,Shellder,Water,,305,25,60,107,38,37,False
35,Clefairy,Normal,,323,74,46,54,60,29,False
148,Dragonair,Dragon,,420,59,89,61,70,71,False
14,Kakuna,Bug,Poison,205,50,28,47,23,34,False
5,Charmeleon,Fire,,405,49,58,64,74,85,False
135,Jolteon,Electric,,525,56,70,60,109,121,False
22,Fearow,Normal,Flying,442,70,84,59,62,105,False
92,Gastly,Ghost,Poison,310,28,46,23,68,78,False
124,Jynx,Ice,Psychic,455,60,48,34,106,102,False
9,Blastoise,Water,,530,74,87,98,94,83,False
126,Magmar,Fire,,495,66,102,53,90,95,False
123,Scyther,Bug,Flying,500,74,109,80,70,97,False
69,Bellsprout,Grass,Poison,300,42,83,29,53,40,False
93,Haunter,Ghost,Poison,405,43,59,46,83,91,False
56,Mankey,Fighting,,305,33,80,30,42,78,False
124,Jynx,Ice,Psychic,455,63,63,32,105,87,False
63,Abra,Psychic,,310,23,24,9,84,87,False
92,Gastly,Ghost,Poison,310,30,37,31,66,81,False
49,Venomoth,Bug,Poison,450,77,65,56,77,98,False
139,Omastar,Rock,Water,495,74,66,126,92,46,False
98,Krabby,Water,,325,32,100,89,26,52,False
119,Seaking,Water,,450,84,98,63,70,64,False
91,Cloyster,Water,Ice,525,41,95,184,66,74,False
18,Pidgeot,Normal,Flying,479,89,85,67,73,92,False
41,Zubat,Poison,Flying,245,46,47,32,36,49,False
107,Hitmonchan,Fighting,,455,55,110,79,70,70,False
118,Goldeen,Water,,320,37,68,54,44,73,False
84,Doduo,Normal,Flying,310,36,91,49,36,63,False
15,Beedrill,Bug,Poison,395,69,90,51,58,70,False
142,Aerodactyl,Rock,Flying,515,72,116,67,66,127,False
95,Onix,Rock,Ground,385,31,50,166,33,72,False
93,Haunter,Ghost,Poison,405,45,53,41,80,105,False
41,Zubat,Poison,Flying,245,32,48,35,34,61,False
121,Starmie,Water,Psychic,520,67,70,89,94,107,False
51,Dugtrio,Ground,,405,37,80,43,58,128,False
45,Vileplume,Grass,Poison,490,68,80,88,97,60,False
50,Diglett,Ground,,265,13,41,22,44,102,False
28,Sandslash,Ground,,450,76,100,114,46,67,False
74,Geodude,Rock,Ground,300,49,75,93,31,21,False
139,Omastar,Rock,Water,495,77,55,116,92,64,False
151,Mew,Psychic,,600,107,107,98,95,98,False
80,Slowbro,Water,Psychic,490,102,70,109,94,20,False
121,Starmie,Water,Psychic,520,58,80,77,98,110,False
117,Seadra,Water,,440,61,57,97,74,78,False
76,Golem,Rock,Ground,495,79,122,120,62,51,False
37,Vulpix,Fire,,299,43,37,33,60,66,False
22,Fearow,Normal,Flying,442,57,93,70,63,96,False
71,Victreebel,Grass,Poison,490,83,107,58,83,76,False
98,Krabby,Water,,325,32,97,80,28,61,False
103,Exeggutor,Grass,Psychic,520,105,101,78,86,63,False
70,Weepinbell,Grass,Poison,390,67,85,46,66,61,False
62,Poliwrath,Water,Fighting,510,99,94,91,80,67,False
112,Rhydon,Ground,Rock,485,104,129,124,42,43,False
96,Drowzee,Psychic,,328,63,43,36,70,47,False
150,Mewtwo,Psychic,,680,101,111,86,122,137,True
106,Hitmonlee,Fighting,,455,52,119,50,75,84,False
128,Tauros,Normal,,490,68,97,98,60,107,False
56,Mankey,Fighting,,305,46,78,31,39,72,False
100,Voltorb,Electric,,330,45,34,52,53,93,False
106,Hitmonlee,Fighting,,455,44,120,60,74,83,False
6,Charizard,Fire,Flying,534,65,87,69,103,107,False
80,Slowbro,Water,Psychic,490,92,71,110,92,34,False
9,Blastoise,Water,,530,71,76,110,99,75,False
56,Mankey,Fighting,,305,41,74,40,40,69,False
89,Muk,Poison,,500,99,107,69,84,56,False
41,Zubat,Poison,Flying,245,47,38,39,32,56,False
130,Gyarados,Water,Flying,540,97,115,75,84,86,False
120,Staryu,Water,,340,39,43,60,58,81,False
125,Electabuzz,Electric,,490,74,77,51,90,109,False
56,Mankey,Fighting,,305,46,75,41,38,67,False
112,Rhydon,Ground,Rock,485,109,124,125,41,45,False
78,Rapidash,Fire,,500,70,97,63,83,104,False
148,Dragonair,Dragon,,420,58,85,71,68,71,False
123,Scyther,Bug,Flying,500,67,109,82,72,98,False
107,Hitmonchan,Fighting,,455,45,115,79,72,73,False
28,Sandslash,Ground,,450,71,100,106,51,71,False
63,Abra,Psychic,,310,35,12,13,80,90,False
62,Poliwrath,Water,Fighting,510,84,104,105,76,66,False
9,Blastoise,Water,,530,71,89,92,97,84,False
109,Koffing,Poison,,340,47,62,97,48,39,False
149,Dragonite,Dragon,Flying,600,83,129,95,102,89,False
58,Growlithe,Fire,,350,63,62,45,61,58,False
10,Caterpie,Bug,,195,40,32,40,18,48,False
50,Diglett,Ground,,265,-1,56,34,38,100,False
36,Clefable,Normal,,483,97,68,79,92,55,False
119,Seaking,Water,,450,73,96,70,72,66,False
52,Meowth,Normal,,290,42,45,36,38,90,False
80,Slowbro,Water,Psychic,490,92,74,109,87,41,False
50,Diglett,Ground,,265,8,53,27,43,91,False
14,Kakuna,Bug,Poison,205,40,25,54,22,41,False
97,Hypno,Psychic,,483,90,73,67,91,71,False
32,Nidoran♂,Poison,,273,48,52,42,40,52,False
108,Lickitung,Normal,,385,83,48,68,73,40,False
19,Rattata,Normal,,253,34,55,24,30,79,False
140,Kabuto,Rock,Water,355,23,77,91,52,60,False
77,Ponyta,Fire,,410,60,87,58,56,93,False
144,Articuno,Ice,Flying,580,87,89,103,105,91,True
34,Nidoking,Poison,Ground,505,81,101,80,78,88,False
131,Lapras,Water,Ice,535,131,88,81,91,53,False
136,Flareon,Fire,,525,66,128,65,106,55,False
124,Jynx,Ice,Psychic,455,68,55,32,102,95,False
139,Omastar,Rock,Water,495,72,66,125,91,50,False
129,Magikarp,Water,,200,17,3,63,21,75,False
51,Dugtrio,Ground,,405,25,80,54,63,120,False
120,Staryu,Water,,340,37,54,52,58,80,False
