,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
798,119,Seaking,Water,None,450,85,89,58,62,82,74,1,False
799,27,Sandshrew,Ground,None,300,42,83,89,22,30,34,1,False
800,128,Tauros,Normal,None,490,73,113,95,41,67,101,1,False
801,92,Gastly,Ghost,Poison,310,32,42,37,92,25,82,1,False
802,96,Drowzee,Psychic,None,328,59,46,38,55,88,42,1,False
803,132,Ditto,Normal,None,288,51,51,49,52,43,42,1,False
804,142,AerodactylMega Aerodactyl,Rock,Flying,615,87,140,82,77,86,143,1,False
805,132,Ditto,Normal,None,288,51,52,51,49,43,42,1,False
806,63,Abra,Psychic,None,310,31,26,17,107,43,86,1,False
807,135,Jolteon,Electric,None,525,71,63,61,106,101,123,1,False
808,72,Tentacool,Water,Poison,335,32,30,42,58,94,79,1,False
809,6,CharizardMega Charizard X,Fire,Dragon,634,77,138,106,126,88,99,1,False
810,128,Tauros,Normal,None,490,71,104,105,41,67,102,1,False
811,57,Primeape,Fighting,None,455,60,114,66,56,64,95,1,False
812,45,Vileplume,Grass,Poison,490,85,73,87,110,85,50,1,False
813,35,Clefairy,Fairy,None,323,75,49,49,54,66,30,1,False
814,48,Venonat,Bug,Poison,305,59,48,55,42,62,39,1,False
815,59,Arcanine,Fire,None,555,94,105,72,99,84,101,1,False
816,46,Paras,Bug,Grass,285,39,77,44,37,56,32,1,False
817,80,SlowbroMega Slowbro,Water,Psychic,590,92,78,173,132,79,36,1,False
818,61,Poliwhirl,Water,None,385,73,55,58,44,58,97,1,False
819,51,Dugtrio,Ground,None,405,38,80,40,49,72,126,1,False
820,95,Onix,Rock,Ground,385,43,44,158,32,47,61,1,False
821,115,KangaskhanMega Kangaskhan,Normal,None,590,101,127,93,59,104,106,1,False
822,8,Wartortle,Water,None,405,54,68,77,67,91,48,1,False
823,15,BeedrillMega Beedrill,Bug,Poison,495,56,144,50,13,79,153,1,False
824,113,Chansey,Normal,None,450,254,1,7,35,115,40,1,False
825,22,Fearow,Normal,Flying,442,57,90,67,67,56,105,1,False
826,117,Seadra,Water,None,440,60,74,90,96,45,75,1,False
827,110,Weezing,Poison,None,490,68,93,120,89,61,59,1,False
828,74,Geodude,Rock,Ground,300,36,79,98,26,38,23,1,False
829,14,Kakuna,Bug,Poison,205,53,26,59,27,15,25,1,False
830,126,Magmar,Fire,None,495,64,95,58,105,88,85,1,False
831,33,Nidorino,Poison,None,365,57,69,62,60,47,70,1,False
832,97,Hypno,Psychic,None,483,79,78,64,82,120,60,1,False
833,105,Marowak,Ground,None,425,57,86,116,47,72,47,1,False
834,19,Rattata,Normal,None,253,36,54,33,17,37,76,1,False
835,137,Porygon,Normal,None,395,62,56,66,88,81,42,1,False
836,122,Mr. Mime,Psychic,Fairy,460,47,48,60,89,125,91,1,False
837,19,Rattata,Normal,None,253,34,60,29,28,30,72,1,False
838,93,Haunter,Ghost,Poison,405,35,54,43,113,63,97,1,False
839,8,Wartortle,Water,None,405,59,66,79,58,77,66,1,False
840,47,Parasect,Bug,Grass,405,63,91,71,70,71,39,1,False
841,40,Wigglytuff,Normal,Fairy,435,135,61,54,93,54,38,1,False
842,27,Sandshrew,Ground,None,300,48,75,81,25,24,47,1,False
843,9,BlastoiseMega Blastoise,Water,None,630,72,102,129,140,112,75,1,False
844,15,BeedrillMega Beedrill,Bug,Poison,495,73,148,40,20,79,135,1,False
845,92,Gastly,Ghost,Poison,310,25,40,21,108,36,80,1,False
846,39,Jigglypuff,Normal,Fairy,270,106,42,22,49,21,30,1,False
847,10,Caterpie,Bug,None,195,41,30,44,17,17,46,1,False
848,129,Magikarp,Water,None,200,22,5,46,21,19,87,1,False
849,126,Magmar,Fire,None,495,65,97,60,96,75,102,1,False
850,69,Bellsprout,Grass,Poison,300,53,76,34,64,41,32,1,False
851,148,Dragonair,Dragon,None,420,66,88,60,62,78,66,1,False
852,58,Growlithe,Fire,None,350,48,63,51,84,53,51,1,False
853,16,Pidgey,Normal,Flying,251,34,37,45,30,43,62,1,False
854,118,Goldeen,Water,None,320,48,67,55,25,56,69,1,False
855,54,Psyduck,Water,None,320,50,52,39,71,46,62,1,False
856,120,Staryu,Water,None,340,22,53,56,70,49,90,1,False
857,145,Zapdos,Electric,Flying,580,90,91,86,135,86,92,1,True
858,38,Ninetales,Fire,None,505,75,81,62,89,104,94,1,False
859,133,Eevee,Normal,None,325,45,57,51,53,63,56,1,False
860,68,Machamp,Fighting,None,505,88,122,82,77,75,61,1,False
861,37,Vulpix,Fire,None,299,34,34,35,47,73,76,1,False
862,1,Bulbasaur,Grass,Poison,318,40,40,57,61,72,48,1,False
863,43,Oddish,Grass,Poison,320,45,54,47,72,75,27,1,False
864,113,Chansey,Normal,None,450,243,13,6,41,102,45,1,False
865,48,Venonat,Bug,Poison,305,57,46,51,37,59,55,1,False
866,16,Pidgey,Normal,Flying,251,36,49,36,29,43,58,1,False
867,113,Chansey,Normal,None,450,243,5,1,43,113,47,1,False
868,45,Vileplume,Grass,Poison,490,76,76,86,102,91,59,1,False
869,127,PinsirMega Pinsir,Bug,Flying,600,62,154,112,69,97,106,1,False
870,80,SlowbroMega Slowbro,Water,Psychic,590,88,84,182,126,87,23,1,False
871,142,Aerodactyl,Rock,Flying,515,85,104,68,53,79,126,1,False
872,84,Doduo,Normal,Flying,310,35,89,40,38,38,70,1,False
873,7,Squirtle,Water,None,314,39,40,76,43,67,49,1,False
874,123,Scyther,Bug,Flying,500,71,105,85,65,74,100,1,False
875,51,Dugtrio,Ground,None,405,35,75,47,59,67,122,1,False
876,35,Clefairy,Fairy,None,323,60,44,58,56,64,41,1,False
877,90,Shellder,Water,None,305,29,59,103,40,39,35,1,False
878,67,Machoke,Fighting,None,405,82,95,67,49,65,47,1,False
879,11,Metapod,Bug,None,205,49,15,57,26,20,38,1,False
880,63,Abra,Psychic,None,310,18,28,16,115,46,87,1,False
881,9,BlastoiseMega Blastoise,Water,None,630,77,100,120,134,124,75,1,False
882,42,Golbat,Poison,Flying,455,80,71,70,59,81,94,1,False
883,93,Haunter,Ghost,Poison,405,51,49,35,123,52,95,1,False
884,54,Psyduck,Water,None,320,46,54,56,59,56,49,1,False
885,4,Charmander,Fire,None,309,41,49,45,56,55,63,1,False
886,77,Ponyta,Fire,None,410,44,83,58,63,68,94,1,False
887,146,Moltres,Fire,Flying,580,88,91,86,128,92,95,1,True
888,88,Grimer,Poison,None,325,86,76,45,32,50,36,1,False
889,45,Vileplume,Grass,Poison,490,75,72,92,109,87,55,1,False
890,98,Krabby,Water,None,325,27,110,83,20,29,56,1,False
891,51,Dugtrio,Ground,None,405,31,82,53,46,79,114,1,False
892,146,Moltres,Fire,Flying,580,91,99,90,119,87,94,1,True
893,132,Ditto,Normal,None,288,47,52,50,42,41,56,1,False
894,80,SlowbroMega Slowbro,Water,Psychic,590,105,83,172,125,80,25,1,False
895,97,Hypno,Psychic,None,483,78,75,73,72,114,71,1,False
896,5,Charmeleon,Fire,None,405,59,72,57,79,56,82,1,False
897,115,KangaskhanMega Kangaskhan,Normal,None,590,111,118,104,56,103,98,1,False
898,83,Farfetch'd,Normal,Flying,352,42,70,51,63,69,57,1,False
899,125,Electabuzz,Electric,None,490,56,81,62,94,86,111,1,False
900,82,Magneton,Electric,Steel,465,50,60,94,117,71,73,1,False
901,78,Rapidash,Fire,None,500,71,95,71,79,74,110,1,False
902,59,Arcanine,Fire,None,555,84,107,84,98,88,94,1,False
903,17,Pidgeotto,Normal,Flying,349,70,58,52,45,49,75,1,False
904,126,Magmar,Fire,None,495,65,109,54,96,78,93,1,False
905,32,Nidoran♂,Poison,None,273,48,61,33,45,45,41,1,False
906,9,BlastoiseMega Blastoise,Water,None,630,67,95,118,144,122,84,1,False
907,51,Dugtrio,Ground,None,405,36,79,42,52,73,123,1,False
908,63,Abra,Psychic,None,310,19,25,16,114,47,89,1,False
909,131,Lapras,Water,Ice,535,128,87,81,74,101,64,1,False
910,118,Goldeen,Water,None,320,39,75,51,47,48,60,1,False
911,87,Dewgong,Water,Ice,475,99,69,73,66,104,64,1,False
912,90,Shellder,Water,None,305,29,60,98,42,29,47,1,False
913,122,Mr. Mime,Psychic,Fairy,460,42,42,60,103,130,83,1,False
914,42,Golbat,Poison,Flying,455,79,71,71,57,81,96,1,False
915,65,Alakazam,Psychic,None,500,59,43,43,135,101,119,1,False
916,81,Magnemite,Electric,Steel,325,30,36,65,83,64,47,1,False
917,55,Golduck,Water,None,500,74,90,75,100,78,83,1,False
918,43,Oddish,Grass,Poison,320,48,40,64,75,62,31,1,False
919,61,Poliwhirl,Water,None,385,61,66,65,46,50,97,1,False
920,64,Kadabra,Psychic,None,400,45,39,36,110,73,97,1,False
921,43,Oddish,Grass,Poison,320,39,55,58,75,62,31,1,False
922,73,Tentacruel,Water,Poison,515,76,78,55,77,127,102,1,False
923,52,Meowth,Normal,None,290,41,44,33,31,45,96,1,False
924,91,Cloyster,Water,Ice,525,47,100,185,81,40,72,1,False
925,18,Pidgeot,Normal,Flying,479,79,77,78,62,75,108,1,False
926,47,Parasect,Bug,Grass,405,68,106,74,60,75,22,1,False
927,46,Paras,Bug,Grass,285,38,76,58,38,59,16,1,False
928,124,Jynx,Ice,Psychic,455,65,52,32,112,95,99,1,False
929,72,Tentacool,Water,Poison,335,37,33,39,48,103,75,1,False
930,130,GyaradosMega Gyarados,Water,Dark,640,92,150,104,78,127,89,1,False
931,92,Gastly,Ghost,Poison,310,38,27,24,106,27,88,1,False
932,124,Jynx,Ice,Psychic,455,58,46,43,112,91,105,1,False
933,98,Krabby,Water,None,325,36,106,83,19,26,55,1,False
934,8,Wartortle,Water,None,405,67,62,79,64,80,53,1,False
935,1,Bulbasaur,Grass,Poison,318,50,60,47,60,57,44,1,False
936,148,Dragonair,Dragon,None,420,69,81,59,63,63,85,1,False
937,40,Wigglytuff,Normal,Fairy,435,140,82,47,81,44,41,1,False
938,17,Pidgeotto,Normal,Flying,349,64,61,48,49,46,81,1,False
939,39,Jigglypuff,Normal,Fairy,270,114,40,16,43,22,35,1,False
940,111,Rhyhorn,Ground,Rock,345,82,78,102,27,37,19,1,False
941,150,MewtwoMega Mewtwo Y,Psychic,None,780,110,146,72,198,112,142,1,True
942,138,Omanyte,Rock,Water,355,43,52,95,83,51,31,1,False
943,94,GengarMega Gengar,Ghost,Poison,600,61,69,82,168,96,124,1,False
944,74,Geodude,Rock,Ground,300,40,89,95,31,30,15,1,False
945,32,Nidoran♂,Poison,None,273,47,55,30,46,50,45,1,False
946,135,Jolteon,Electric,None,525,56,59,68,118,88,136,1,False
947,120,Staryu,Water,None,340,22,46,60,64,56,92,1,False
948,101,Electrode,Electric,None,480,55,59,65,89,66,146,1,False
949,64,Kadabra,Psychic,None,400,46,27,30,120,73,104,1,False
950,73,Tentacruel,Water,Poison,515,76,62,73,88,116,100,1,False
951,91,Cloyster,Water,Ice,525,47,97,178,81,46,76,1,False
952,20,Raticate,Normal,None,413,55,82,49,55,70,102,1,False
953,27,Sandshrew,Ground,None,300,46,84,93,19,21,37,1,False
954,24,Arbok,Poison,None,438,68,85,68,63,76,78,1,False
955,131,Lapras,Water,Ice,535,131,78,77,89,102,58,1,False
956,125,Electabuzz,Electric,None,490,53,88,60,103,86,100,1,False
957,65,Alakazam,Psychic,None,500,47,52,39,135,101,126,1,False
958,115,Kangaskhan,Normal,None,490,112,93,75,41,86,83,1,False
959,135,Jolteon,Electric,None,525,67,68,59,103,93,135,1,False
960,20,Raticate,Normal,None,413,52,77,53,59,66,106,1,False
961,46,Paras,Bug,Grass,285,34,77,62,38,51,23,1,False
962,33,Nidorino,Poison,None,365,63,67,61,63,50,61,1,False
963,23,Ekans,Poison,None,288,40,55,38,39,55,61,1,False
964,150,MewtwoMega Mewtwo Y,Psychic,None,780,98,148,74,198,125,137,1,True
965,139,Omastar,Rock,Water,495,70,61,121,122,64,57,1,False
966,117,Seadra,Water,None,440,47,66,88,100,45,94,1,False
967,102,Exeggcute,Grass,Psychic,325,55,40,88,69,38,35,1,False
968,95,Onix,Rock,Ground,385,32,40,155,28,50,80,1,False
969,65,AlakazamMega Alakazam,Psychic,None,590,53,47,61,181,93,155,1,False
970,81,Magnemite,Electric,Steel,325,22,30,74,99,50,50,1,False
971,6,CharizardMega Charizard X,Fire,Dragon,634,71,134,106,134,94,95,1,False
972,90,Shellder,Water,None,305,25,60,107,53,23,37,1,False
973,94,GengarMega Gengar,Ghost,Poison,600,68,65,79,162,94,132,1,False
974,9,BlastoiseMega Blastoise,Water,None,630,86,102,123,135,108,76,1,False
975,35,Clefairy,Fairy,None,323,74,46,54,60,60,29,1,False
976,148,Dragonair,Dragon,None,420,59,89,61,70,70,71,1,False
977,14,Kakuna,Bug,Poison,205,50,28,47,16,30,34,1,False
978,5,Charmeleon,Fire,None,405,49,58,64,82,67,85,1,False
979,135,Jolteon,Electric,None,525,56,70,60,117,101,121,1,False
980,22,Fearow,Normal,Flying,442,70,84,59,72,52,105,1,False
981,92,Gastly,Ghost,Poison,310,28,46,23,100,35,78,1,False
982,124,Jynx,Ice,Psychic,455,60,48,34,115,96,102,1,False
983,9,Blastoise,Water,None,530,74,87,98,86,102,83,1,False
984,142,AerodactylMega Aerodactyl,Rock,Flying,615,73,125,80,76,105,156,1,False
985,126,Magmar,Fire,None,495,66,102,53,100,79,95,1,False
986,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,96,197,108,151,107,121,1,True
987,123,Scyther,Bug,Flying,500,74,109,80,67,73,97,1,False
988,69,Bellsprout,Grass,Poison,300,42,83,29,66,40,40,1,False
989,93,Haunter,Ghost,Poison,405,43,59,46,107,59,91,1,False
990,56,Mankey,Fighting,None,305,33,80,30,41,43,78,1,False
991,124,Jynx,Ice,Psychic,455,63,63,32,112,98,87,1,False
992,63,Abra,Psychic,None,310,23,24,9,117,50,87,1,False
993,92,Gastly,Ghost,Poison,310,30,37,31,95,36,81,1,False
994,49,Venomoth,Bug,Poison,450,77,65,56,89,65,98,1,False
995,139,Omastar,Rock,Water,495,74,66,126,113,70,46,1,False
996,98,Krabby,Water,None,325,32,100,89,22,30,52,1,False
997,119,Seaking,Water,None,450,84,98,63,62,79,64,1,False
998,91,Cloyster,Water,Ice,525,41,95,184,92,39,74,1,False
999,18,PidgeotMega Pidgeot,Normal,Flying,579,88,72,78,135,80,126,1,False
1000,18,Pidgeot,Normal,Flying,479,89,85,67,70,76,92,1,False
1001,115,KangaskhanMega Kangaskhan,Normal,None,590,98,131,102,58,100,101,1,False
1002,41,Zubat,Poison,Flying,245,46,47,32,21,50,49,1,False
1003,107,Hitmonchan,Fighting,None,455,55,110,79,35,106,70,1,False
1004,118,Goldeen,Water,None,320,37,68,54,44,44,73,1,False
1005,84,Doduo,Normal,Flying,310,36,91,49,40,31,63,1,False
1006,15,Beedrill,Bug,Poison,395,69,90,51,40,75,70,1,False
1007,142,Aerodactyl,Rock,Flying,515,72,116,67,63,70,127,1,False
1008,95,Onix,Rock,Ground,385,31,50,166,23,43,72,1,False
1009,93,Haunter,Ghost,Poison,405,45,53,41,109,52,105,1,False
1010,41,Zubat,Poison,Flying,245,32,48,35,29,40,61,1,False
1011,121,Starmie,Water,Psychic,520,67,70,89,97,90,107,1,False
1012,51,Dugtrio,Ground,None,405,37,80,43,48,69,128,1,False
1013,45,Vileplume,Grass,Poison,490,68,80,88,107,87,60,1,False
1014,50,Diglett,Ground,None,265,13,41,22,38,49,102,1,False
1015,80,SlowbroMega Slowbro,Water,Psychic,590,98,77,172,127,85,31,1,False
1016,28,Sandslash,Ground,None,450,76,100,114,42,51,67,1,False
1017,3,VenusaurMega Venusaur,Grass,Poison,625,81,96,121,125,118,84,1,False
1018,74,Geodude,Rock,Ground,300,49,75,93,23,39,21,1,False
1019,139,Omastar,Rock,Water,495,77,55,116,120,63,64,1,False
1020,115,KangaskhanMega Kangaskhan,Normal,None,590,104,122,104,54,99,107,1,False
1021,151,Mew,Psychic,None,600,107,107,98,96,94,98,1,False
1022,80,Slowbro,Water,Psychic,490,102,70,109,109,80,20,1,False
1023,121,Starmie,Water,Psychic,520,58,80,77,109,86,110,1,False
1024,117,Seadra,Water,None,440,61,57,97,93,54,78,1,False
1025,76,Golem,Rock,Ground,495,79,122,120,62,61,51,1,False
1026,37,Vulpix,Fire,None,299,43,37,33,52,68,66,1,False
1027,22,Fearow,Normal,Flying,442,57,93,70,69,57,96,1,False
1028,71,Victreebel,Grass,Poison,490,83,107,58,89,77,76,1,False
1029,98,Krabby,Water,None,325,32,97,80,21,34,61,1,False
1030,103,Exeggutor,Grass,Psychic,520,105,101,78,118,55,63,1,False
1031,94,GengarMega Gengar,Ghost,Poison,600,70,56,77,178,96,123,1,False
1032,70,Weepinbell,Grass,Poison,390,67,85,46,82,49,61,1,False
1033,62,Poliwrath,Water,Fighting,510,99,94,91,71,88,67,1,False
1034,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,108,188,96,150,98,140,1,True
1035,112,Rhydon,Ground,Rock,485,104,129,124,43,42,43,1,False
1036,96,Drowzee,Psychic,None,328,63,43,36,47,92,47,1,False
1037,150,Mewtwo,Psychic,None,680,101,111,86,164,81,137,1,True
1038,106,Hitmonlee,Fighting,None,455,52,119,50,36,114,84,1,False
1039,9,BlastoiseMega Blastoise,Water,None,630,86,100,130,130,114,70,1,False
1040,128,Tauros,Normal,None,490,68,97,98,46,74,107,1,False
1041,56,Mankey,Fighting,None,305,46,78,31,36,42,72,1,False
1042,100,Voltorb,Electric,None,330,45,34,52,53,53,93,1,False
1043,106,Hitmonlee,Fighting,None,455,44,120,60,38,110,83,1,False
1044,6,Charizard,Fire,Flying,534,65,87,69,116,90,107,1,False
1045,80,Slowbro,Water,Psychic,490,92,71,110,100,83,34,1,False
1046,9,Blastoise,Water,None,530,71,76,110,97,101,75,1,False
1047,56,Mankey,Fighting,None,305,41,74,40,31,50,69,1,False
1048,89,Muk,Poison,None,500,99,107,69,70,99,56,1,False
1049,41,Zubat,Poison,Flying,245,47,38,39,30,35,56,1,False
1050,130,Gyarados,Water,Flying,540,97,115,75,60,107,86,1,False
1051,120,Staryu,Water,None,340,39,43,60,65,52,81,1,False
1052,125,Electabuzz,Electric,None,490,74,77,51,96,83,109,1,False
1053,56,Mankey,Fighting,None,305,46,75,41,30,46,67,1,False
1054,112,Rhydon,Ground,Rock,485,109,124,125,43,39,45,1,False
1055,78,Rapidash,Fire,None,500,70,97,63,79,87,104,1,False
1056,148,Dragonair,Dragon,None,420,58,85,71,72,63,71,1,False
1057,123,Scyther,Bug,Flying,500,67,109,82,58,86,98,1,False
1058,107,Hitmonchan,Fighting,None,455,45,115,79,33,110,73,1,False
1059,28,Sandslash,Ground,None,450,71,100,106,49,53,71,1,False
1060,3,VenusaurMega Venusaur,Grass,Poison,625,82,106,130,115,118,74,1,False
1061,63,Abra,Psychic,None,310,35,12,13,103,57,90,1,False
1062,65,AlakazamMega Alakazam,Psychic,None,590,53,50,58,179,103,147,1,False
1063,62,Poliwrath,Water,Fighting,510,84,104,105,67,84,66,1,False
1064,9,Blastoise,Water,None,530,71,89,92,81,113,84,1,False
1065,109,Koffing,Poison,None,340,47,62,97,51,44,39,1,False
1066,149,Dragonite,Dragon,Flying,600,83,129,95,96,108,89,1,False
1067,58,Growlithe,Fire,None,350,63,62,45,66,56,58,1,False
1068,10,Caterpie,Bug,None,195,40,32,40,20,15,48,1,False
1069,50,Diglett,Ground,None,265,1,56,34,26,50,100,1,False
1070,36,Clefable,Fairy,None,483,97,68,79,88,96,55,1,False
1071,119,Seaking,Water,None,450,73,96,70,60,85,66,1,False
1072,52,Meowth,Normal,None,290,42,45,36,39,38,90,1,False
1073,80,Slowbro,Water,Psychic,490,92,74,109,103,71,41,1,False
1074,50,Diglett,Ground,None,265,8,53,27,41,45,91,1,False
1075,14,Kakuna,Bug,Poison,205,40,25,54,26,19,41,1,False
1076,97,Hypno,Psychic,None,483,90,73,67,74,108,71,1,False
1077,32,Nidoran♂,Poison,None,273,48,52,42,39,40,52,1,False
1078,108,Lickitung,Normal,None,385,83,48,68,71,75,40,1,False
1079,19,Rattata,Normal,None,253,34,55,24,28,33,79,1,False
1080,140,Kabuto,Rock,Water,355,23,77,91,65,39,60,1,False
1081,77,Ponyta,Fire,None,410,60,87,58,52,60,93,1,False
1082,144,Articuno,Ice,Flying,580,87,89,103,94,116,91,1,True
1083,34,Nidoking,Poison,Ground,505,81,101,80,74,81,88,1,False
1084,131,Lapras,Water,Ice,535,131,88,81,88,94,53,1,False
1085,136,Flareon,Fire,None,525,66,128,65,101,110,55,1,False
1086,124,Jynx,Ice,Psychic,455,68,55,32,112,93,95,1,False
1087,139,Omastar,Rock,Water,495,72,66,125,111,71,50,1,False
1088,129,Magikarp,Water,None,200,17,3,63,22,20,75,1,False
1089,51,Dugtrio,Ground,None,405,25,80,54,53,73,120,1,False
1090,120,Staryu,Water,None,340,37,54,52,58,59,80,1,False
1091,109,Koffing,Poison,None,340,39,71,88,62,51,29,1,False
1092,138,Omanyte,Rock,Water,355,38,43,94,92,58,30,1,False
1093,98,Krabby,Water,None,325,23,96,103,23,24,56,1,False
1094,26,Raichu,Electric,None,485,58,88,51,86,87,115,1,False
1095,14,Kakuna,Bug,Poison,205,51,21,49,24,27,33,1,False
1096,98,Krabby,Water,None,325,22,105,85,30,26,57,1,False
1097,69,Bellsprout,Grass,Poison,300,51,77,32,63,40,37,1,False
1098,43,Oddish,Grass,Poison,320,51,45,49,76,74,25,1,False
1099,132,Ditto,Normal,None,288,54,57,51,39,43,44,1,False
1100,62,Poliwrath,Water,Fighting,510,93,97,101,70,88,61,1,False
1101,40,Wigglytuff,Normal,Fairy,435,141,72,39,93,46,44,1,False
1102,95,Onix,Rock,Ground,385,37,45,158,37,38,70,1,False
1103,26,Raichu,Electric,None,485,53,91,50,98,88,105,1,False
1104,123,Scyther,Bug,Flying,500,74,109,76,54,85,102,1,False
1105,18,PidgeotMega Pidgeot,Normal,Flying,579,90,80,80,126,87,116,1,False
1106,25,Pikachu,Electric,None,320,41,44,44,54,46,91,1,False
1107,69,Bellsprout,Grass,Poison,300,48,67,43,67,30,45,1,False
1108,107,Hitmonchan,Fighting,None,455,50,107,73,42,106,77,1,False
1109,73,Tentacruel,Water,Poison,515,75,64,60,83,137,96,1,False
1110,127,Pinsir,Bug,None,500,76,121,91,54,65,93,1,False
1111,150,MewtwoMega Mewtwo Y,Psychic,None,780,109,152,62,190,127,140,1,True
1112,148,Dragonair,Dragon,None,420,60,86,70,76,63,65,1,False
1113,108,Lickitung,Normal,None,385,92,48,66,63,79,37,1,False
1114,14,Kakuna,Bug,Poison,205,44,29,58,13,30,31,1,False
1115,25,Pikachu,Electric,None,320,38,46,38,52,59,87,1,False
1116,52,Meowth,Normal,None,290,47,43,31,32,43,94,1,False
1117,106,Hitmonlee,Fighting,None,455,44,125,57,31,112,86,1,False
1118,97,Hypno,Psychic,None,483,85,67,65,80,122,64,1,False
1119,3,VenusaurMega Venusaur,Grass,Poison,625,78,95,132,123,120,77,1,False
1120,65,AlakazamMega Alakazam,Psychic,None,590,49,41,70,176,101,153,1,False
1121,143,Snorlax,Normal,None,540,158,112,59,71,110,30,1,False
1122,142,Aerodactyl,Rock,Flying,515,72,101,72,52,87,131,1,False
1123,128,Tauros,Normal,None,490,64,103,101,34,78,110,1,False
1124,141,Kabutops,Rock,Water,495,60,125,107,58,64,81,1,False
1125,85,Dodrio,Normal,Flying,460,56,119,80,60,49,96,1,False
1126,70,Weepinbell,Grass,Poison,390,61,85,58,79,47,60,1,False
1127,61,Poliwhirl,Water,None,385,71,63,68,52,47,84,1,False
1128,77,Ponyta,Fire,None,410,51,78,59,60,74,88,1,False
1129,72,Tentacool,Water,Poison,335,34,38,48,47,98,70,1,False
1130,23,Ekans,Poison,None,288,38,48,47,38,61,56,1,False
1131,30,Nidorina,Poison,None,365,75,52,73,59,44,62,1,False
1132,56,Mankey,Fighting,None,305,46,82,38,32,35,72,1,False
1133,17,Pidgeotto,Normal,Flying,349,64,52,53,54,54,72,1,False
1134,49,Venomoth,Bug,Poison,450,62,63,59,95,75,96,1,False
1135,27,Sandshrew,Ground,None,300,56,73,82,26,18,45,1,False
1136,3,Venusaur,Grass,Poison,525,88,76,83,108,91,79,1,False
1137,67,Machoke,Fighting,None,405,72,99,74,60,61,39,1,False
1138,94,GengarMega Gengar,Ghost,Poison,600,50,61,86,174,99,130,1,False
1139,93,Haunter,Ghost,Poison,405,47,55,39,112,61,91,1,False
1140,45,Vileplume,Grass,Poison,490,74,80,85,113,86,52,1,False
1141,26,Raichu,Electric,None,485,58,99,57,82,70,119,1,False
1142,139,Omastar,Rock,Water,495,72,60,117,120,73,53,1,False
1143,22,Fearow,Normal,Flying,442,70,84,68,58,68,94,1,False
1144,148,Dragonair,Dragon,None,420,57,83,69,66,71,74,1,False
1145,136,Flareon,Fire,None,525,66,137,59,89,109,65,1,False
1146,80,SlowbroMega Slowbro,Water,Psychic,590,97,70,172,138,81,32,1,False
1147,44,Gloom,Grass,Poison,395,69,62,67,89,77,31,1,False
1148,69,Bellsprout,Grass,Poison,300,52,69,35,74,25,45,1,False
1149,65,Alakazam,Psychic,None,500,64,50,35,141,99,111,1,False
1150,140,Kabuto,Rock,Water,355,28,77,99,56,43,52,1,False
1151,151,Mew,Psychic,None,600,100,105,108,97,99,91,1,False
1152,100,Voltorb,Electric,None,330,40,31,49,46,60,104,1,False
1153,18,PidgeotMega Pidgeot,Normal,Flying,579,86,84,76,140,80,113,1,False
1154,20,Raticate,Normal,None,413,67,81,53,48,68,96,1,False
1155,50,Diglett,Ground,None,265,6,44,23,40,49,103,1,False
1156,24,Arbok,Poison,None,438,51,84,70,68,84,81,1,False
1157,81,Magnemite,Electric,Steel,325,27,37,68,93,59,41,1,False
1158,27,Sandshrew,Ground,None,300,49,74,77,13,34,53,1,False
1159,125,Electabuzz,Electric,None,490,74,79,59,95,93,90,1,False
1160,85,Dodrio,Normal,Flying,460,58,108,74,53,62,105,1,False
1161,66,Machop,Fighting,None,305,79,77,48,25,48,28,1,False
1162,143,Snorlax,Normal,None,540,155,107,59,75,111,33,1,False
1163,110,Weezing,Poison,None,490,57,96,118,94,68,57,1,False
1164,26,Raichu,Electric,None,485,54,87,50,96,84,114,1,False
1165,71,Victreebel,Grass,Poison,490,72,113,74,101,65,65,1,False
1166,86,Seel,Water,None,325,71,39,51,43,69,52,1,False
1167,19,Rattata,Normal,None,253,23,64,39,32,31,64,1,False
1168,63,Abra,Psychic,None,310,16,14,22,113,57,88,1,False
1169,130,Gyarados,Water,Flying,540,88,141,79,57,101,74,1,False
1170,79,Slowpoke,Water,Psychic,315,81,69,63,43,38,21,1,False
1171,107,Hitmonchan,Fighting,None,455,51,102,69,40,112,81,1,False
1172,99,Kingler,Water,None,475,50,131,118,42,56,78,1,False
1173,115,Kangaskhan,Normal,None,490,102,85,88,48,80,87,1,False
1174,37,Vulpix,Fire,None,299,39,49,39,55,58,59,1,False
1175,74,Geodude,Rock,Ground,300,49,86,99,25,22,19,1,False
1176,21,Spearow,Normal,Flying,262,35,61,36,26,40,64,1,False
1177,120,Staryu,Water,None,340,35,51,58,69,44,83,1,False
1178,3,VenusaurMega Venusaur,Grass,Poison,625,86,95,124,114,123,83,1,False
1179,37,Vulpix,Fire,None,299,43,35,37,45,73,66,1,False
1180,115,Kangaskhan,Normal,None,490,110,103,71,33,82,91,1,False
1181,48,Venonat,Bug,Poison,305,61,61,54,40,45,44,1,False
1182,30,Nidorina,Poison,None,365,68,53,68,57,56,63,1,False
1183,88,Grimer,Poison,None,325,85,73,57,45,48,17,1,False
1184,73,Tentacruel,Water,Poison,515,71,70,75,87,116,96,1,False
