#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
74,Geodude,Rock,Ground,300,36,79,98,26,38,23,1,False
14,Kakuna,Bug,Poison,205,53,26,59,27,15,25,1,False
126,Magmar,Fire,,495,64,95,58,105,88,85,1,False
33,Nidorino,Poison,,365,57,69,62,60,47,70,1,False
97,Hypno,Psychic,,483,79,78,64,82,120,60,1,False
105,Marowak,Ground,,425,57,86,116,47,72,47,1,False
19,Rattata,Normal,,253,36,54,33,17,37,76,1,False
137,Porygon,Normal,,395,62,56,66,88,81,42,1,False
122,Mr. Mime,Psychic,Fairy,460,47,48,60,89,125,91,1,False
19,Rattata,Normal,,253,34,60,29,28,30,72,1,False
93,Haunter,Ghost,Poison,405,35,54,43,113,63,97,1,False
8,Wartortle,Water,,405,59,66,79,58,77,66,1,False
47,Parasect,Bug,Grass,405,63,91,71,70,71,39,1,False
40,Wigglytuff,Normal,Fairy,435,135,61,54,93,54,38,1,False
27,Sandshrew,Ground,,300,48,75,81,25,24,47,1,False
9,BlastoiseMega Blastoise,Water,,630,72,102,129,140,112,75,1,False
15,BeedrillMega Beedrill,Bug,Poison,495,73,148,40,20,79,135,1,False
92,Gastly,Ghost,Poison,310,25,40,21,108,36,80,1,False
39,Jigglypuff,Normal,Fairy,270,106,42,22,49,21,30,1,False
10,Caterpie,Bug,,195,41,30,44,17,17,46,1,False
129,Magikarp,Water,,200,22,5,46,21,19,87,1,False
126,Magmar,Fire,,495,65,97,60,96,75,102,1,False
69,Bellsprout,Grass,Poison,300,53,76,34,64,41,32,1,False
148,Dragonair,Dragon,,420,66,88,60,62,78,66,1,False
58,Growlithe,Fire,,350,48,63,51,84,53,51,1,False
16,Pidgey,Normal,Flying,251,34,37,45,30,43,62,1,False
118,Goldeen,Water,,320,48,67,55,25,56,69,1,False
54,Psyduck,Water,,320,50,52,39,71,46,62,1,False
120,Staryu,Water,,340,22,53,56,70,49,90,1,False
145,Zapdos,Electric,Flying,580,90,91,86,135,86,92,1,True
38,Ninetales,Fire,,505,75,81,62,89,104,94,1,False
133,Eevee,Normal,,325,45,57,51,53,63,56,1,False
68,Machamp,Fighting,,505,88,122,82,77,75,61,1,False
37,Vulpix,Fire,,299,34,34,35,47,73,76,1,False
1,Bulbasaur,Grass,Poison,318,40,40,57,61,72,48,1,False
43,Oddish,Grass,Poison,320,45,54,47,72,75,27,1,False
113,Chansey,Normal,,450,243,13,6,41,102,45,1,False
48,Venonat,Bug,Poison,305,57,46,51,37,59,55,1,False
16,Pidgey,Normal,Flying,251,36,49,36,29,43,58,1,False
113,Chansey,Normal,,450,243,5,-1,43,113,47,1,False
45,Vileplume,Grass,Poison,490,76,76,86,102,91,59,1,False
127,PinsirMega Pinsir,Bug,Flying,600,62,154,112,69,97,106,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,88,84,182,126,87,23,1,False
142,Aerodactyl,Rock,Flying,515,85,104,68,53,79,126,1,False
84,Doduo,Normal,Flying,310,35,89,40,38,38,70,1,False
7,Squirtle,Water,,314,39,40,76,43,67,49,1,False
123,Scyther,Bug,Flying,500,71,105,85,65,74,100,1,False
51,Dugtrio,Ground,,405,35,75,47,59,67,122,1,False
35,Clefairy,Fairy,,323,60,44,58,56,64,41,1,False
90,Shellder,Water,,305,29,59,103,40,39,35,1,False
67,Machoke,Fighting,,405,82,95,67,49,65,47,1,False
11,Metapod,Bug,,205,49,15,57,26,20,38,1,False
63,Abra,Psychic,,310,18,28,16,115,46,87,1,False
9,BlastoiseMega Blastoise,Water,,630,77,100,120,134,124,75,1,False
42,Golbat,Poison,Flying,455,80,71,70,59,81,94,1,False
93,Haunter,Ghost,Poison,405,51,49,35,123,52,95,1,False
54,Psyduck,Water,,320,46,54,56,59,56,49,1,False
4,Charmander,Fire,,309,41,49,45,56,55,63,1,False
77,Ponyta,Fire,,410,44,83,58,63,68,94,1,False
146,Moltres,Fire,Flying,580,88,91,86,128,92,95,1,True
88,Grimer,Poison,,325,86,76,45,32,50,36,1,False
45,Vileplume,Grass,Poison,490,75,72,92,109,87,55,1,False
98,Krabby,Water,,325,27,110,83,20,29,56,1,False
51,Dugtrio,Ground,,405,31,82,53,46,79,114,1,False
146,Moltres,Fire,Flying,580,91,99,90,119,87,94,1,True
132,Ditto,Normal,,288,47,52,50,42,41,56,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,105,83,172,125,80,25,1,False
97,Hypno,Psychic,,483,78,75,73,72,114,71,1,False
5,Charmeleon,Fire,,405,59,72,57,79,56,82,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,111,118,104,56,103,98,1,False
83,Farfetch'd,Normal,Flying,352,42,70,51,63,69,57,1,False
125,Electabuzz,Electric,,490,56,81,62,94,86,111,1,False
82,Magneton,Electric,Steel,465,50,60,94,117,71,73,1,False
78,Rapidash,Fire,,500,71,95,71,79,74,110,1,False
59,Arcanine,Fire,,555,84,107,84,98,88,94,1,False
17,Pidgeotto,Normal,Flying,349,70,58,52,45,49,75,1,False
126,Magmar,Fire,,495,65,109,54,96,78,93,1,False
32,Nidoran♂,Poison,,273,48,61,33,45,45,41,1,False
9,BlastoiseMega Blastoise,Water,,630,67,95,118,144,122,84,1,False
51,Dugtrio,Ground,,405,36,79,42,52,73,123,1,False
63,Abra,Psychic,,310,19,25,16,114,47,89,1,False
131,Lapras,Water,Ice,535,128,87,81,74,101,64,1,False
118,Goldeen,Water,,320,39,75,51,47,48,60,1,False
87,Dewgong,Water,Ice,475,99,69,73,66,104,64,1,False
90,Shellder,Water,,305,29,60,98,42,29,47,1,False
122,Mr. Mime,Psychic,Fairy,460,42,42,60,103,130,83,1,False
42,Golbat,Poison,Flying,455,79,71,71,57,81,96,1,False
65,Alakazam,Psychic,,500,59,43,43,135,101,119,1,False
81,Magnemite,Electric,Steel,325,30,36,65,83,64,47,1,False
55,Golduck,Water,,500,74,90,75,100,78,83,1,False
43,Oddish,Grass,Poison,320,48,40,64,75,62,31,1,False
61,Poliwhirl,Water,,385,61,66,65,46,50,97,1,False
64,Kadabra,Psychic,,400,45,39,36,110,73,97,1,False
43,Oddish,Grass,Poison,320,39,55,58,75,62,31,1,False
73,Tentacruel,Water,Poison,515,76,78,55,77,127,102,1,False
52,Meowth,Normal,,290,41,44,33,31,45,96,1,False
91,Cloyster,Water,Ice,525,47,100,185,81,40,72,1,False
18,Pidgeot,Normal,Flying,479,79,77,78,62,75,108,1,False
47,Parasect,Bug,Grass,405,68,106,74,60,75,22,1,False
46,Paras,Bug,Grass,285,38,76,58,38,59,16,1,False
124,Jynx,Ice,Psychic,455,65,52,32,112,95,99,1,False
72,Tentacool,Water,Poison,335,37,33,39,48,103,75,1,False
130,GyaradosMega Gyarados,Water,Dark,640,92,150,104,78,127,89,1,False
92,Gastly,Ghost,Poison,310,38,27,24,106,27,88,1,False
124,Jynx,Ice,Psychic,455,58,46,43,112,91,105,1,False
98,Krabby,Water,,325,36,106,83,19,26,55,1,False
8,Wartortle,Water,,405,67,62,79,64,80,53,1,False
1,Bulbasaur,Grass,Poison,318,50,60,47,60,57,44,1,False
148,Dragonair,Dragon,,420,69,81,59,63,63,85,1,False
40,Wigglytuff,Normal,Fairy,435,140,82,47,81,44,41,1,False
17,Pidgeotto,Normal,Flying,349,64,61,48,49,46,81,1,False
39,Jigglypuff,Normal,Fairy,270,114,40,16,43,22,35,1,False
111,Rhyhorn,Ground,Rock,345,82,78,102,27,37,19,1,False
150,MewtwoMega Mewtwo Y,Psychic,,780,110,146,72,198,112,142,1,True
138,Omanyte,Rock,Water,355,43,52,95,83,51,31,1,False
94,GengarMega Gengar,Ghost,Poison,600,61,69,82,168,96,124,1,False
74,Geodude,Rock,Ground,300,40,89,95,31,30,15,1,False
32,Nidoran♂,Poison,,273,47,55,30,46,50,45,1,False
135,Jolteon,Electric,,525,56,59,68,118,88,136,1,False
120,Staryu,Water,,340,22,46,60,64,56,92,1,False
101,Electrode,Electric,,480,55,59,65,89,66,146,1,False
64,Kadabra,Psychic,,400,46,27,30,120,73,104,1,False
73,Tentacruel,Water,Poison,515,76,62,73,88,116,100,1,False
91,Cloyster,Water,Ice,525,47,97,178,81,46,76,1,False
20,Raticate,Normal,,413,55,82,49,55,70,102,1,False
27,Sandshrew,Ground,,300,46,84,93,19,21,37,1,False
24,Arbok,Poison,,438,68,85,68,63,76,78,1,False
131,Lapras,Water,Ice,535,131,78,77,89,102,58,1,False
125,Electabuzz,Electric,,490,53,88,60,103,86,100,1,False
65,Alakazam,Psychic,,500,47,52,39,135,101,126,1,False
115,Kangaskhan,Normal,,490,112,93,75,41,86,83,1,False
135,Jolteon,Electric,,525,67,68,59,103,93,135,1,False
20,Raticate,Normal,,413,52,77,53,59,66,106,1,False
46,Paras,Bug,Grass,285,34,77,62,38,51,23,1,False
33,Nidorino,Poison,,365,63,67,61,63,50,61,1,False
23,Ekans,Poison,,288,40,55,38,39,55,61,1,False
150,MewtwoMega Mewtwo Y,Psychic,,780,98,148,74,198,125,137,1,True
139,Omastar,Rock,Water,495,70,61,121,122,64,57,1,False
117,Seadra,Water,,440,47,66,88,100,45,94,1,False
102,Exeggcute,Grass,Psychic,325,55,40,88,69,38,35,1,False
95,Onix,Rock,Ground,385,32,40,155,28,50,80,1,False
65,AlakazamMega Alakazam,Psychic,,590,53,47,61,181,93,155,1,False
81,Magnemite,Electric,Steel,325,22,30,74,99,50,50,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,71,134,106,134,94,95,1,False
90,Shellder,Water,,305,25,60,107,53,23,37,1,False
94,GengarMega Gengar,Ghost,Poison,600,68,65,79,162,94,132,1,False
9,BlastoiseMega Blastoise,Water,,630,86,102,123,135,108,76,1,False
35,Clefairy,Fairy,,323,74,46,54,60,60,29,1,False
148,Dragonair,Dragon,,420,59,89,61,70,70,71,1,False
14,Kakuna,Bug,Poison,205,50,28,47,16,30,34,1,False
5,Charmeleon,Fire,,405,49,58,64,82,67,85,1,False
135,Jolteon,Electric,,525,56,70,60,117,101,121,1,False
22,Fearow,Normal,Flying,442,70,84,59,72,52,105,1,False
92,Gastly,Ghost,Poison,310,28,46,23,100,35,78,1,False
124,Jynx,Ice,Psychic,455,60,48,34,115,96,102,1,False
9,Blastoise,Water,,530,74,87,98,86,102,83,1,False
142,AerodactylMega Aerodactyl,Rock,Flying,615,73,125,80,76,105,156,1,False
126,Magmar,Fire,,495,66,102,53,100,79,95,1,False
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,96,197,108,151,107,121,1,True
123,Scyther,Bug,Flying,500,74,109,80,67,73,97,1,False
69,Bellsprout,Grass,Poison,300,42,83,29,66,40,40,1,False
93,Haunter,Ghost,Poison,405,43,59,46,107,59,91,1,False
56,Mankey,Fighting,,305,33,80,30,41,43,78,1,False
124,Jynx,Ice,Psychic,455,63,63,32,112,98,87,1,False
63,Abra,Psychic,,310,23,24,9,117,50,87,1,False
92,Gastly,Ghost,Poison,310,30,37,31,95,36,81,1,False
49,Venomoth,Bug,Poison,450,77,65,56,89,65,98,1,False
139,Omastar,Rock,Water,495,74,66,126,113,70,46,1,False
98,Krabby,Water,,325,32,100,89,22,30,52,1,False
119,Seaking,Water,,450,84,98,63,62,79,64,1,False
91,Cloyster,Water,Ice,525,41,95,184,92,39,74,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,88,72,78,135,80,126,1,False
18,Pidgeot,Normal,Flying,479,89,85,67,70,76,92,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,98,131,102,58,100,101,1,False
41,Zubat,Poison,Flying,245,46,47,32,21,50,49,1,False
107,Hitmonchan,Fighting,,455,55,110,79,35,106,70,1,False
118,Goldeen,Water,,320,37,68,54,44,44,73,1,False
84,Doduo,Normal,Flying,310,36,91,49,40,31,63,1,False
15,Beedrill,Bug,Poison,395,69,90,51,40,75,70,1,False
142,Aerodactyl,Rock,Flying,515,72,116,67,63,70,127,1,False
95,Onix,Rock,Ground,385,31,50,166,23,43,72,1,False
93,Haunter,Ghost,Poison,405,45,53,41,109,52,105,1,False
41,Zubat,Poison,Flying,245,32,48,35,29,40,61,1,False
121,Starmie,Water,Psychic,520,67,70,89,97,90,107,1,False
51,Dugtrio,Ground,,405,37,80,43,48,69,128,1,False
45,Vileplume,Grass,Poison,490,68,80,88,107,87,60,1,False
50,Diglett,Ground,,265,13,41,22,38,49,102,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,98,77,172,127,85,31,1,False
28,Sandslash,Ground,,450,76,100,114,42,51,67,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,81,96,121,125,118,84,1,False
74,Geodude,Rock,Ground,300,49,75,93,23,39,21,1,False
139,Omastar,Rock,Water,495,77,55,116,120,63,64,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,104,122,104,54,99,107,1,False
151,Mew,Psychic,,600,107,107,98,96,94,98,1,False
80,Slowbro,Water,Psychic,490,102,70,109,109,80,20,1,False
121,Starmie,Water,Psychic,520,58,80,77,109,86,110,1,False
117,Seadra,Water,,440,61,57,97,93,54,78,1,False
76,Golem,Rock,Ground,495,79,122,120,62,61,51,1,False
37,Vulpix,Fire,,299,43,37,33,52,68,66,1,False
22,Fearow,Normal,Flying,442,57,93,70,69,57,96,1,False
71,Victreebel,Grass,Poison,490,83,107,58,89,77,76,1,False
98,Krabby,Water,,325,32,97,80,21,34,61,1,False
103,Exeggutor,Grass,Psychic,520,105,101,78,118,55,63,1,False
94,GengarMega Gengar,Ghost,Poison,600,70,56,77,178,96,123,1,False
70,Weepinbell,Grass,Poison,390,67,85,46,82,49,61,1,False
62,Poliwrath,Water,Fighting,510,99,94,91,71,88,67,1,False
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,108,188,96,150,98,140,1,True
112,Rhydon,Ground,Rock,485,104,129,124,43,42,43,1,False
96,Drowzee,Psychic,,328,63,43,36,47,92,47,1,False
150,Mewtwo,Psychic,,680,101,111,86,164,81,137,1,True
106,Hitmonlee,Fighting,,455,52,119,50,36,114,84,1,False
9,BlastoiseMega Blastoise,Water,,630,86,100,130,130,114,70,1,False
128,Tauros,Normal,,490,68,97,98,46,74,107,1,False
56,Mankey,Fighting,,305,46,78,31,36,42,72,1,False
100,Voltorb,Electric,,330,45,34,52,53,53,93,1,False
106,Hitmonlee,Fighting,,455,44,120,60,38,110,83,1,False
6,Charizard,Fire,Flying,534,65,87,69,116,90,107,1,False
80,Slowbro,Water,Psychic,490,92,71,110,100,83,34,1,False
9,Blastoise,Water,,530,71,76,110,97,101,75,1,False
56,Mankey,Fighting,,305,41,74,40,31,50,69,1,False
89,Muk,Poison,,500,99,107,69,70,99,56,1,False
41,Zubat,Poison,Flying,245,47,38,39,30,35,56,1,False
130,Gyarados,Water,Flying,540,97,115,75,60,107,86,1,False
120,Staryu,Water,,340,39,43,60,65,52,81,1,False
125,Electabuzz,Electric,,490,74,77,51,96,83,109,1,False
56,Mankey,Fighting,,305,46,75,41,30,46,67,1,False
112,Rhydon,Ground,Rock,485,109,124,125,43,39,45,1,False
78,Rapidash,Fire,,500,70,97,63,79,87,104,1,False
148,Dragonair,Dragon,,420,58,85,71,72,63,71,1,False
123,Scyther,Bug,Flying,500,67,109,82,58,86,98,1,False
107,Hitmonchan,Fighting,,455,45,115,79,33,110,73,1,False
28,Sandslash,Ground,,450,71,100,106,49,53,71,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,82,106,130,115,118,74,1,False
63,Abra,Psychic,,310,35,12,13,103,57,90,1,False
65,AlakazamMega Alakazam,Psychic,,590,53,50,58,179,103,147,1,False
62,Poliwrath,Water,Fighting,510,84,104,105,67,84,66,1,False
9,Blastoise,Water,,530,71,89,92,81,113,84,1,False
109,Koffing,Poison,,340,47,62,97,51,44,39,1,False
149,Dragonite,Dragon,Flying,600,83,129,95,96,108,89,1,False
58,Growlithe,Fire,,350,63,62,45,66,56,58,1,False
10,Caterpie,Bug,,195,40,32,40,20,15,48,1,False
50,Diglett,Ground,,265,-1,56,34,26,50,100,1,False
36,Clefable,Fairy,,483,97,68,79,88,96,55,1,False
119,Seaking,Water,,450,73,96,70,60,85,66,1,False
52,Meowth,Normal,,290,42,45,36,39,38,90,1,False
80,Slowbro,Water,Psychic,490,92,74,109,103,71,41,1,False
50,Diglett,Ground,,265,8,53,27,41,45,91,1,False
14,Kakuna,Bug,Poison,205,40,25,54,26,19,41,1,False
97,Hypno,Psychic,,483,90,73,67,74,108,71,1,False
32,Nidoran♂,Poison,,273,48,52,42,39,40,52,1,False
108,Lickitung,Normal,,385,83,48,68,71,75,40,1,False
19,Rattata,Normal,,253,34,55,24,28,33,79,1,False
140,Kabuto,Rock,Water,355,23,77,91,65,39,60,1,False
77,Ponyta,Fire,,410,60,87,58,52,60,93,1,False
144,Articuno,Ice,Flying,580,87,89,103,94,116,91,1,True
34,Nidoking,Poison,Ground,505,81,101,80,74,81,88,1,False
131,Lapras,Water,Ice,535,131,88,81,88,94,53,1,False
136,Flareon,Fire,,525,66,128,65,101,110,55,1,False
124,Jynx,Ice,Psychic,455,68,55,32,112,93,95,1,False
139,Omastar,Rock,Water,495,72,66,125,111,71,50,1,False
129,Magikarp,Water,,200,17,3,63,22,20,75,1,False
51,Dugtrio,Ground,,405,25,80,54,53,73,120,1,False
120,Staryu,Water,,340,37,54,52,58,59,80,1,False
109,Koffing,Poison,,340,39,71,88,62,51,29,1,False
138,Omanyte,Rock,Water,355,38,43,94,92,58,30,1,False
98,Krabby,Water,,325,23,96,103,23,24,56,1,False
26,Raichu,Electric,,485,58,88,51,86,87,115,1,False
14,Kakuna,Bug,Poison,205,51,21,49,24,27,33,1,False
98,Krabby,Water,,325,22,105,85,30,26,57,1,False
69,Bellsprout,Grass,Poison,300,51,77,32,63,40,37,1,False
43,Oddish,Grass,Poison,320,51,45,49,76,74,25,1,False
132,Ditto,Normal,,288,54,57,51,39,43,44,1,False
62,Poliwrath,Water,Fighting,510,93,97,101,70,88,61,1,False
40,Wigglytuff,Normal,Fairy,435,141,72,39,93,46,44,1,False
95,Onix,Rock,Ground,385,37,45,158,37,38,70,1,False
26,Raichu,Electric,,485,53,91,50,98,88,105,1,False
123,Scyther,Bug,Flying,500,74,109,76,54,85,102,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,90,80,80,126,87,116,1,False
25,Pikachu,Electric,,320,41,44,44,54,46,91,1,False
69,Bellsprout,Grass,Poison,300,48,67,43,67,30,45,1,False
107,Hitmonchan,Fighting,,455,50,107,73,42,106,77,1,False
73,Tentacruel,Water,Poison,515,75,64,60,83,137,96,1,False
127,Pinsir,Bug,,500,76,121,91,54,65,93,1,False
150,MewtwoMega Mewtwo Y,Psychic,,780,109,152,62,190,127,140,1,True
148,Dragonair,Dragon,,420,60,86,70,76,63,65,1,False
108,Lickitung,Normal,,385,92,48,66,63,79,37,1,False
14,Kakuna,Bug,Poison,205,44,29,58,13,30,31,1,False
25,Pikachu,Electric,,320,38,46,38,52,59,87,1,False
52,Meowth,Normal,,290,47,43,31,32,43,94,1,False
106,Hitmonlee,Fighting,,455,44,125,57,31,112,86,1,False
97,Hypno,Psychic,,483,85,67,65,80,122,64,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,78,95,132,123,120,77,1,False
65,AlakazamMega Alakazam,Psychic,,590,49,41,70,176,101,153,1,False
143,Snorlax,Normal,,540,158,112,59,71,110,30,1,False
142,Aerodactyl,Rock,Flying,515,72,101,72,52,87,131,1,False
128,Tauros,Normal,,490,64,103,101,34,78,110,1,False
141,Kabutops,Rock,Water,495,60,125,107,58,64,81,1,False
85,Dodrio,Normal,Flying,460,56,119,80,60,49,96,1,False
70,Weepinbell,Grass,Poison,390,61,85,58,79,47,60,1,False
61,Poliwhirl,Water,,385,71,63,68,52,47,84,1,False
77,Ponyta,Fire,,410,51,78,59,60,74,88,1,False
72,Tentacool,Water,Poison,335,34,38,48,47,98,70,1,False
23,Ekans,Poison,,288,38,48,47,38,61,56,1,False
30,Nidorina,Poison,,365,75,52,73,59,44,62,1,False
56,Mankey,Fighting,,305,46,82,38,32,35,72,1,False
17,Pidgeotto,Normal,Flying,349,64,52,53,54,54,72,1,False
49,Venomoth,Bug,Poison,450,62,63,59,95,75,96,1,False
27,Sandshrew,Ground,,300,56,73,82,26,18,45,1,False
3,Venusaur,Grass,Poison,525,88,76,83,108,91,79,1,False
67,Machoke,Fighting,,405,72,99,74,60,61,39,1,False
94,GengarMega Gengar,Ghost,Poison,600,50,61,86,174,99,130,1,False
93,Haunter,Ghost,Poison,405,47,55,39,112,61,91,1,False
45,Vileplume,Grass,Poison,490,74,80,85,113,86,52,1,False
26,Raichu,Electric,,485,58,99,57,82,70,119,1,False
139,Omastar,Rock,Water,495,72,60,117,120,73,53,1,False
22,Fearow,Normal,Flying,442,70,84,68,58,68,94,1,False
148,Dragonair,Dragon,,420,57,83,69,66,71,74,1,False
136,Flareon,Fire,,525,66,137,59,89,109,65,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,97,70,172,138,81,32,1,False
44,Gloom,Grass,Poison,395,69,62,67,89,77,31,1,False
69,Bellsprout,Grass,Poison,300,52,69,35,74,25,45,1,False
65,Alakazam,Psychic,,500,64,50,35,141,99,111,1,False
140,Kabuto,Rock,Water,355,28,77,99,56,43,52,1,False
151,Mew,Psychic,,600,100,105,108,97,99,91,1,False
100,Voltorb,Electric,,330,40,31,49,46,60,104,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,86,84,76,140,80,113,1,False
20,Raticate,Normal,,413,67,81,53,48,68,96,1,False
50,Diglett,Ground,,265,6,44,23,40,49,103,1,False
24,Arbok,Poison,,438,51,84,70,68,84,81,1,False
81,Magnemite,Electric,Steel,325,27,37,68,93,59,41,1,False
27,Sandshrew,Ground,,300,49,74,77,13,34,53,1,False
125,Electabuzz,Electric,,490,74,79,59,95,93,90,1,False
85,Dodrio,Normal,Flying,460,58,108,74,53,62,105,1,False
66,Machop,Fighting,,305,79,77,48,25,48,28,1,False
143,Snorlax,Normal,,540,155,107,59,75,111,33,1,False
110,Weezing,Poison,,490,57,96,118,94,68,57,1,False
26,Raichu,Electric,,485,54,87,50,96,84,114,1,False
71,Victreebel,Grass,Poison,490,72,113,74,101,65,65,1,False
86,Seel,Water,,325,71,39,51,43,69,52,1,False
19,Rattata,Normal,,253,23,64,39,32,31,64,1,False
63,Abra,Psychic,,310,16,14,22,113,57,88,1,False
130,Gyarados,Water,Flying,540,88,141,79,57,101,74,1,False
79,Slowpoke,Water,Psychic,315,81,69,63,43,38,21,1,False
107,Hitmonchan,Fighting,,455,51,102,69,40,112,81,1,False
99,Kingler,Water,,475,50,131,118,42,56,78,1,False
115,Kangaskhan,Normal,,490,102,85,88,48,80,87,1,False
37,Vulpix,Fire,,299,39,49,39,55,58,59,1,False
74,Geodude,Rock,Ground,300,49,86,99,25,22,19,1,False
21,Spearow,Normal,Flying,262,35,61,36,26,40,64,1,False
120,Staryu,Water,,340,35,51,58,69,44,83,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,86,95,124,114,123,83,1,False
37,Vulpix,Fire,,299,43,35,37,45,73,66,1,False
115,Kangaskhan,Normal,,490,110,103,71,33,82,91,1,False
48,Venonat,Bug,Poison,305,61,61,54,40,45,44,1,False
30,Nidorina,Poison,,365,68,53,68,57,56,63,1,False
88,Grimer,Poison,,325,85,73,57,45,48,17,1,False
73,Tentacruel,Water,Poison,515,71,70,75,87,116,96,1,False
115,Kangaskhan,Normal,,490,108,87,75,43,78,99,1,False
109,Koffing,Poison,,340,32,69,97,65,35,42,1,False
83,Farfetch'd,Normal,Flying,352,59,58,56,55,59,65,1,False
109,Koffing,Poison,,340,41,63,98,56,39,43,1,False
73,Tentacruel,Water,Poison,515,81,68,73,85,116,92,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,106,122,97,68,94,103,1,False
73,Tentacruel,Water,Poison,515,75,74,59,78,123,106,1,False
106,Hitmonlee,Fighting,,455,51,120,44,37,117,86,1,False
70,Weepinbell,Grass,Poison,390,71,88,46,84,45,56,1,False
56,Mankey,Fighting,,305,45,79,35,37,45,64,1,False
57,Primeape,Fighting,,455,52,105,66,59,71,102,1,False
111,Rhyhorn,Ground,Rock,345,81,77,94,36,29,28,1,False
54,Psyduck,Water,,320,49,37,57,66,53,58,1,False
145,Zapdos,Electric,Flying,580,80,88,79,130,93,110,1,True
134,Vaporeon,Water,,525,133,65,59,118,89,61,1,False
84,Doduo,Normal,Flying,310,31,87,56,33,34,69,1,False
11,Metapod,Bug,,205,53,13,52,28,30,29,1,False
130,Gyarados,Water,Flying,540,87,115,80,67,107,84,1,False
97,Hypno,Psychic,,483,84,79,74,67,109,70,1,False
42,Golbat,Poison,Flying,455,75,88,72,57,73,90,1,False
144,Articuno,Ice,Flying,580,90,77,108,95,129,81,1,True
102,Exeggcute,Grass,Psychic,325,59,32,82,70,49,33,1,False
62,Poliwrath,Water,Fighting,510,92,86,103,70,82,77,1,False
90,Shellder,Water,,305,20,69,101,48,28,39,1,False
14,Kakuna,Bug,Poison,205,43,20,54,17,32,39,1,False
70,Weepinbell,Grass,Poison,390,63,96,44,79,50,58,1,False
27,Sandshrew,Ground,,300,53,68,80,23,42,34,1,False
79,Slowpoke,Water,Psychic,315,89,62,64,46,36,18,1,False
65,Alakazam,Psychic,,500,49,55,55,129,89,123,1,False
28,Sandslash,Ground,,450,70,106,114,40,47,73,1,False
141,Kabutops,Rock,Water,495,64,116,113,67,68,67,1,False
127,PinsirMega Pinsir,Bug,Flying,600,67,143,115,70,94,111,1,False
65,Alakazam,Psychic,,500,58,50,38,142,90,122,1,False
53,Persian,Normal,,440,64,68,56,64,71,117,1,False
124,Jynx,Ice,Psychic,455,72,49,33,117,94,90,1,False
59,Arcanine,Fire,,555,96,113,80,102,76,88,1,False
122,Mr. Mime,Psychic,Fairy,460,38,49,67,103,118,85,1,False
145,Zapdos,Electric,Flying,580,91,96,90,124,93,86,1,True
100,Voltorb,Electric,,330,34,30,47,55,58,106,1,False
34,Nidoking,Poison,Ground,505,80,99,79,86,77,84,1,False
138,Omanyte,Rock,Water,355,31,48,99,93,48,36,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,80,110,69,149,124,102,1,False
34,Nidoking,Poison,Ground,505,89,98,78,89,73,78,1,False
88,Grimer,Poison,,325,81,73,41,48,54,28,1,False
104,Cubone,Ground,,320,55,45,94,44,49,33,1,False
30,Nidorina,Poison,,365,80,54,69,54,58,50,1,False
75,Graveler,Rock,Ground,390,49,83,115,51,53,39,1,False
88,Grimer,Poison,,325,89,72,45,37,53,29,1,False
110,Weezing,Poison,,490,62,96,126,78,64,64,1,False
66,Machop,Fighting,,305,81,75,53,33,34,29,1,False
81,Magnemite,Electric,Steel,325,29,31,77,90,61,37,1,False
68,Machamp,Fighting,,505,82,128,76,65,95,59,1,False
25,Pikachu,Electric,,320,35,48,41,45,49,102,1,False
16,Pidgey,Normal,Flying,251,41,32,46,43,29,60,1,False
65,Alakazam,Psychic,,500,55,46,50,143,89,117,1,False
94,GengarMega Gengar,Ghost,Poison,600,61,65,84,176,93,121,1,False
60,Poliwag,Water,,300,30,52,36,46,48,88,1,False
65,AlakazamMega Alakazam,Psychic,,590,57,56,71,169,97,140,1,False
91,Cloyster,Water,Ice,525,44,95,181,85,42,78,1,False
19,Rattata,Normal,,253,40,58,27,27,39,62,1,False
14,Kakuna,Bug,Poison,205,36,22,50,30,29,38,1,False
99,Kingler,Water,,475,48,130,111,54,55,77,1,False
116,Horsea,Water,,295,22,47,79,65,30,52,1,False
34,Nidoking,Poison,Ground,505,65,109,70,92,80,89,1,False
83,Farfetch'd,Normal,Flying,352,47,65,59,61,59,61,1,False
